Species,Tissue,CellType,Marker,Resource
Human,Nasopharynx,Mast cell,"GATA2, PTGS2, TPSAB1, TPSB2","32901110, 34352228, 33619488"
Human,Nasopharynx,Mature NK T cell,NKG7,32061950
Human,Nasopharynx,Memory B cell,"CRIP1, MT-ATP8, TAGLN2",34618691
Human,Nasopharynx,Migratory dendritic cell,CCR7,32901110
Human,Nasopharynx,Monocyte,"C1QB, CD14, CD163",32901110
Human,Nasopharynx,Myofibroblast cell,"ACTA2, MCAM, MYLK",32901110
Human,Nasopharynx,Naive B cell,SELL,34618691
Human,Nasopharynx,Nasopharyngeal epithelial cell,"HBA2, HBB",33619488
Human,Nasopharynx,Natural killer cell,KLRD1,32901110
Human,Nasopharynx,Neutrophil,"S100A8, S100A9, CXCR2, CXCR4, DDIT4, FCGR3B, IFIT1, IFIT2, IFIT3, ISG15, MX1, PTAFR",34618691
Human,Nasopharynx,Plasma cell,"IGH, IGK, SDC1",34618691
Human,Nasopharynx,Plasmacytoid dendritic cell,"IL3RA, CD38, CD40LG, CD72, FCER2, GZMB, IGHD, IRF4, IRF7, ITGAX, JCHAIN, MAPRE3, TLR7","32901110, 34618691, 34352228, 33619488"
Human,Nasopharynx,Regulatory T cell,"FOXP3, IKZF2, IL2RA","32901110, 32061950"
Human,Nasopharynx,T cell,"CD3D, CD2, CD3E, CD3G, CD4, TRBC2","32901110, 34618691, 34352228, 32061950, 33619488"
Human,Nasopharynx,T follicular helper cell,"CXCL13, PDCD1",32901110
Human,Nasopharynx,Transitional stage B cell,SELL,34618691
Human,Visceral fat,Macrophage,CD68,19765775
Human,Visceral fat,Mesenchymal stem cell,"CD200, F3, NT5E, THY1","24527391, 30376726"
Human,Fetal kidney,Dendritic cell,"CD1C, HLA-DPA1, HLA-DPB1, HLA-DRA, HLA-DRB1",32214235
Human,Fetal kidney,Endothelial cell,"PECAM1, PLVAP, ADGRF5, ADGRL4, AQP1, C1QTNF3, CA2, CAV1, CD69, CD83, CDH5, CFAP20, COX16, CYP26B1, ECSCR, EMCN, ESAM, GPC3, HACD3, HBG1, HBG2, HNRNPU, HSPA4, HSPA6, IER3IP1, IGF2BP2, IGFBP5, ITM2C, KDR, LIMD2, LINC00305, MAP1B, MATR3, MRPL57, MYDGF, MYH10, NAA38, NACA2, NDUFB8, PEG10, PLPP3, PMAIP1, PSMA2, RARB, RND3, RPSAP58, RSRP1, SARAF, SEMA3G, SF3B14, SGCE, SLC14A1, SMARCC1, SNU13, SOX11, SQLE, SULT1C4, SVBP, THUMPD3-AS1, TMBIM4, TUBB2B, UQCR11","32214235, 30674341, 31242503, 30093597"
Human,Fetal kidney,Epithelial cell,"CA2, CCND1, DCDC2, ELF3, FLRT3, VCAN",30674341
Human,Fetal kidney,Epithelial progenitor cell,"BEX3, SOX4",32214235
Human,Fetal kidney,Epithelial progenitor cell of proximal tubule,"AFP, CUBN",32214235
Human,Fetal kidney,Erythrocyte,"AHSP, HBA1, HBA2, HBB, HBG1, HBG2",32214235
Human,Fetal kidney,Erythroid progenitor cell,"AHSP, BLVRB, NPM1, UROD",32214235
Human,Fetal kidney,Fibroblast,"ACTG1, BEX3, COL3A1, SOX4, STMN1",32214235
Human,Fetal kidney,Intermediate cell,"KRT18, KRT8, UPK1A, UPK2",32214235
Human,Fetal kidney,Kidney loop of Henle epithelial cell,"CDH1, FXYD2, S100A2, SLC12A1, UMOD, WFDC2","32214235, 30674341"
Human,Fetal kidney,Kidney loop of Henle thick ascending limb epithelial cell,"ALDH1A1, ELF3, LIMCH1, MAL, PAPPA2, PTGR1",30674341
Human,Fetal kidney,Macrophage,"C1QA, C1QB, CD163, CD74, FCER1G",32214235
Human,Fetal kidney,Mature NK T cell,"CD3D, CD52, CD7, FCGR3A, GZMB, KLRD1, TRA",30093597
Human,Fetal kidney,Megakaryocyte,"CTSW, FYB1, ITGA2B, PF4, PLEK, PPBP, RAB27B, RASGRP2, SRGN",30093597
Human,Fetal kidney,Mesenchymal stem cell,"COL1A1, COL1A2, COL3A1, COL12A1, COL5A2, DCN, LUM, OGN",32214235
Human,Fetal kidney,Monocyte,"CD14, CD52, CD68, HLA-DRA, ITGAX, LYZ, MNDA, S100A8","32214235, 30093597"
Human,Fetal kidney,Neuron,"GAP43, STMN2, UCHL1",32214235
Human,Fetal kidney,Neutrophil,"DEFA3, DEFA4, ELANE, MPO, RNASE2",32214235
Human,Fetal kidney,Podocyte,"CCND1, CXCL1, HNRNPR, LGALS1, LYPD1, NPHS1, NR2F1, NUSAP1, OLFM3, SOX4, STMN1, TUBA1A",30674341
Human,Fetal kidney,Primordial germ cell,POU5F1,32214235
Human,Fetal kidney,Progenitor cell,"CCND1, CXCR4, DAPL1, EPCAM, HOXD11, ITM2C, MEOX1, PAX2, PCNA, ROBO2, SIX2, STMN1, TMEM100, TUBA1A, TUBA1B, WT1",30674341
Human,Fetal kidney,Renal intercalated cell,"ATP6AP2, ATP6V0D2, ATP6V1G3",32214235
Human,Fetal kidney,Renal vesicle cell,JAG1,30674341
Human,Fetal kidney,Smooth muscle cell,"ACTA2, MYL6, TAGLN",32214235
Human,Fetal kidney,Stromal cell,"COL1A1, COL1A2, COL3A1, COL5A1, COL5A2, LUM, MEIS1","32214235, 30674341"
Human,Fetal kidney,Ureteric bud cell,"CLDN6, LAMA1, NMU, POU3F3, SOX4, WFDC2","32214235, 30093597"
Human,Fetal kidney,Urothelial cell,"CDH1, GATA3, PAX2",30674341
Human,Corpus luteum,Endothelial cell,CD34,10084966
Human,Embryoid body,Adult endothelial progenitor cell,"DDIT3, GDF15",30827876
Human,Embryoid body,Cardiac muscle cell,"COL3A1, TAGLN2",33279112
Human,Embryoid body,Ectodermal cell,PAX6,33279112
Human,Embryoid body,Endothelial cell,"ECSCR, GNG11, KDR, PECAM1","33279112, 29622030"
Human,Embryoid body,Epithelial cell,"DMD, PDPN, TFAP2C",29622030
Human,Embryoid body,Epithelial progenitor cell,"IGFBP5, PODXL",30827876
Human,Embryoid body,Hepatic stem cell,"FRZB, PTN",30827876
Human,Embryoid body,Hepatocyte,"AFP, FGB, TTR",29622030
Human,Embryoid body,Mesenchymal stem cell,"COL2A1, SFRP2",30827876
Human,Embryoid body,Muscle precursor cell,"HAPLN1, S100A11",30827876
Human,Embryoid body,Neural progenitor cell,"LHX2, NR2F1",30827876
Human,Embryoid body,Pluripotent stem cell,ALPL,24911063
Human,Embryoid body,Stem cell,"POU5F1, TERF1",30827876
Human,Embryoid body,Stromal cell,"COL5A1, KLF6, LUM",29622030
Human,Cornea,Corneal epithelial cell,"KRT5, S100A14, SFN, TACSTD2","34381080, 34584087"
Human,Cornea,Endothelial cell,"ALCAM, CA3, CD34, CD44, CD47, CDH2, ENG, ICAM1, LGR5, MCAM, NECTIN2, NT5E, RGS5, SLC4A11, THY1, VCAM1","33865984, 34381080, 28032398, 23553870"
Human,Cornea,Endothelial cell of vascular tree,"CLDN5, COL4A2, PECAM1",34381080
Human,Cornea,Epithelial cell,"KRT19, KRT3, KRT4","34381080, 34584087, 23067315"
Human,Cornea,Langerhans cell,"MSR1, PTPRC, VSIG4",34381080
Human,Cornea,Melanocyte,"DCT, PMEL, SOX10, TUBB2B, TYRP1","33865984, 34381080, 34584087"
Human,Cornea,Stromal cell,"DCN, KERA, LUM",34381080
Human,Ethmoid sinus,Basal cell,"KRT5, TP63","32413319, 30135581"
Human,Ethmoid sinus,Ciliated cell,"CAPS, PIFO",32413319
Human,Ethmoid sinus,Glandular epithelial cell,"AZGP1, LTF","32413319, 30135581"
Human,Ethmoid sinus,Goblet cell,MUC5AC,"32413319, 30135581"
Human,Corpus,Interstitial cell of Cajal,"ANO1, KIT",34913225
Human,Corpus,Mast cell,"CPA3, KIT, MCAT, SLC16A1",34913225
Human,Corpus,Neuron,UCHL1,34913225
Human,Corpus,Smooth muscle cell,"ACTG2, DES",34913225
Human,Embryonic heart,Adventitial cell,"CLDN5, TCIM, TM4SF18",35365599
Human,Embryonic heart,Capillary endothelial cell,"CLDN5, TCIM, TM4SF18",35365599
Human,Embryonic heart,Cardiac muscle cell,"MYH7, NAV1",35365599
Human,Embryonic heart,Endothelial cell,"CLDN5, TCIM, TM4SF18, TMEM100",35365599
Human,Embryonic heart,Fibroblast,"CLU, NOV, RSPO3",35365599
Human,Embryonic heart,Mesothelial cell of epicardium,"ITLN1, MYRF, SBSPON, TNNT1",35365599
Human,Embryonic heart,Neural crest cell,"ALDH1A1, ELAVL4, ISL1, PCSK1N, STMN2, TOP2A",35365599
Human,Embryonic heart,Pericyte,"CLDN5, TCIM, TM4SF18",35365599
Human,Embryonic heart,Regular atrial cardiac myocyte,"MYH6, PAM, TBX5",35365599
Human,Embryonic heart,Schwann cell precursor,"ALDH1A1, ELAVL4, ISL1, PCSK1N, STMN2, TOP2A",35365599
Human,Mucosa of pyloric antrum,B cell,"CD19, CD79A",31067475
Human,Mucosa of pyloric antrum,Endothelial cell,"ENG, MCAM, PECAM1, VWF",31067475
Human,Mucosa of pyloric antrum,Enterocyte,"CA1, FABP1, VIL1",31067475
Human,Mucosa of pyloric antrum,Enteroendocrine cell,"CCK, CHGA, CHGB, GAST, GCG, GHRL, GIP, NEUROG3, NTS, SCT, SST, TAC1, TPH1",31067475
Human,Mucosa of pyloric antrum,Epithelial cell,"CDH1, CLDN4, EPCAM, KRT18, KRT19, MUC1",31067475
Human,Mucosa of pyloric antrum,Fibroblast,"COL1A2, COL3A1, COL6A1, DCN, FAP, PDPN",31067475
Human,Mucosa of pyloric antrum,Foveolar cell of stomach,MUC5AC,31067475
Human,Mucosa of pyloric antrum,Goblet cell,"MUC2, SPINK4, TFF3",31067475
Human,Mucosa of pyloric antrum,Macrophage,"CD14, CD163, CD68, CSF1R",31067475
Human,Mucosa of pyloric antrum,Mast cell,"TPSAB1, TPSB2",31067475
Human,Mucosa of pyloric antrum,Mature enterocyte,"APOA1, APOA4, APOB, APOC3",31067475
Human,Mucosa of pyloric antrum,Mucous cell of stomach,MUC6,31067475
Human,Mucosa of pyloric antrum,Parietal cell,"ATP4A, ATP4B, CBLIF, MIF, MT3",31067475
Human,Mucosa of pyloric antrum,Peptic cell,"LIPF, PGA3, PGA4",31067475
Human,Mucosa of pyloric antrum,Progenitor cell,"AGR2, ANXA1, SOX4",31067475
Human,Mucosa of pyloric antrum,Smooth muscle cell,"ACTA2, ACTN2, MYH2, MYL2",31067475
Human,Mucosa of pyloric antrum,Stem cell,"CCKBR, CCNB1, LGR5, OLFM4, SOX2, STMN1, TOP2A",31067475
Human,Mucosa of pyloric antrum,T cell,"CD2, CD3D, CD3E, CD3G",31067475
Human,Mucosa of pyloric antrum,Type D cell of stomach,SST,31067475
Human,Mucosa of pyloric antrum,Type D enteroendocrine cell,SST,31067475
Human,Mucosa of pyloric antrum,Type G enteroendocrine cell,GAST,31067475
Human,Mucosa of pyloric antrum,Type X enteroendocrine cell,GHRL,31067475
Human,Epithelium of esophagus,Epithelial cell,"KRT14, KRT15, KRT5, ADH7, ALDH3A1, EPCAM, SFN, TP63",35536873
Human,Ovary,B cell,"CD79A, CD19, MS4A1, CD79B, CD40, DCN, IGHG1, IGHG3, IGKC","34238352, 30383866, 35184420, 32561858, 35935940, 33961783"
Human,Ovary,Cancer-associated fibroblast,THY1,25170899
Human,Ovary,Capillary endothelial cell,"CA4, CD36",32561858
Human,Ovary,"CD4-positive, alpha-beta exhausted T cell","CXCL13, TIGIT",35184420
Human,Ovary,"CD4-positive, alpha-beta T cell","CD4, ANXA1, CD200, CD3D, CD40LG, CTLA4, CXCL13, FOXP3, GPR183, ICOS, IL2RA, IL7R, LMNA","30383866, 35184420, 33961783"
Human,Ovary,"CD8-positive, alpha-beta cytotoxic T cell","GNLY, GZMB",35184420
Human,Ovary,"CD8-positive, alpha-beta exhausted T cell","CTLA4, LAG3, TIGIT",35184420
Human,Ovary,"CD8-positive, alpha-beta T cell","CD8A, CD8B, CD3D, FGFBP2, GNLY, GPR183, GZMB, IL7R, KLRG1, PRF1","30383866, 35184420, 33961783"
Human,Ovary,Ciliated cell,"CAPS, CCDC17",32049047
Human,Ovary,Dendritic cell,"CD1C, CCR7, CLEC9A, CD207, CLEC10A, FCGR3A, LAMP3, LILRA4, CADM1, CCL17, CCL19, CD14, CD163, CD1A, CLEC4C, CSF2RA, CXCR3, FCER1A, FCGR1A, MAFB, SERPINA1, XCR1","34238352, 35184420, 32561858, 33961783"
Human,Ovary,"Effector memory CD4-positive, alpha-beta T cell","ANXA1, CCL5, GZMA",35184420
Human,Ovary,"Effector memory CD8-positive, alpha-beta T cell","CXCR4, EOMES, GZMK",35184420
Human,Ovary,Endothelial cell,"PECAM1, CLDN5, VWF, CD34, CDH5, ACKR1, CD24, CDH1, CLDN4, DSP, ENG, EPCAM, KRT18, KRT19, OCLN, SELP, TM4SF1","34238352, 30383866, 35184420, 32946807, 32561858, 35935940, 35263130, 35675036, 35594860, 33961783, 28111004, 21393340"
Human,Ovary,Endothelial cell of artery,"FBLN5, GJA5",32561858
Human,Ovary,Endothelial cell of lymphatic vessel,"PDPN, PROX1, FLT4, LYVE1, PECAM1","32561858, 20028387"
Human,Ovary,Epithelial cell,"EPCAM, KRT19, KRT18, CD24, CDH1, CLDN4, DSP, FOLR1, KRT8, MUC1, OCLN","30383866, 35184420, 33488673, 32049047, 35935940, 35675036, 2481353, 28111004"
Human,Ovary,Erythrocyte,HBG1,35594860
Human,Ovary,Female germ line stem cell,POU5F1,24568237
Human,Ovary,Fibroblast,"DCN, COL1A1, OGN, BGN, COL1A2, ACTA2, ACTB, C1R, PDGFRA, POSTN","34238352, 30383866, 35184420, 32561858, 35675036, 33961783"
Human,Ovary,Gamma-delta T cell,TRDC,33961783
Human,Ovary,Germ cell,"DDX4, DAZL, GDF9, POU5F1, KIT, SALL4, STRA8, ZGLP1, AFP, BMP15, GPC3, NANOG, NANOS3, NLRP5, SPO11, SYCP1, SYCP3, ZAR1, ZP3, ZP4","35594860, 24568237, 28130795, 27301892, 26446766, 25421381, 25281026, 23897655, 23315064, 21291304, 17413979, 15189828"
Human,Ovary,Germ line stem cell,"DDX4, IFITM3",26446766
Human,Ovary,Granulosa cell,"FOXL2, CYP19A1, FSHR, GSTA1, SPRR2 family","32946807, 32714119, 35263130, 24192202, 24899573"
Human,Ovary,Inflammatory CAF,"CXCL12, PDGFRA",35184420
Human,Ovary,Inflammatory macrophage,"CD36, DDX5, IFNGR1, MNDA",32572264
Human,Ovary,Macrophage,"CD68, CTSB, FCGR3A, LGMN","35184420, 35594860"
Human,Ovary,Mast cell,"CPA3, GATA2, KIT, MS4A2, TPSAB1","35184420, 32561858"
Human,Ovary,Mesenchymal cell,"FN1, SNAI2, ACTA2, CD44, CDH2, ITGA5, MMP2, S100A4, TNC, TWIST1, VIM, WNT5A, ZEB1, ZEB2, FOXC2, MYL9","33488673, 32572264, 28111004"
Human,Ovary,Mesothelial cell,"EPCAM, KRT18, KRT19, KRT8",30383866
Human,Ovary,Migratory dendritic cell,"CCL17, CCL19, CCR7",32561858
Human,Ovary,Monocyte,"C1QA, CD14, FCN1, S100A8, S100A9, VCAN","35184420, 35675036"
Human,Ovary,Mononuclear phagocyte,CSF1R,35184420
Human,Ovary,Mucosal invariant T cell,"KLRB1, SLC4A10",35184420
Human,Ovary,Myofibroblast CAF,"ACTA2, RGS5",35184420
Human,Ovary,Myofibroblast cell,"MYH11, ACTA2, ACTG2, PLN, TAGLN","32561858, 35675036"
Human,Ovary,Naive T cell,"SELL, TCF7",33158814
Human,Ovary,"Naive thymus-derived CD4-positive, alpha-beta T cell","CCR7, LEF1",35184420
Human,Ovary,"Naive thymus-derived CD8-positive, alpha-beta T cell","LEF1, SELL",35184420
Human,Ovary,Natural killer cell,"KLRD1, NCAM1, CX3CR1, FGFBP2, GNLY, KLRC1, KLRF1, NCR1, NKG7, TBX21, XCL1, XCL2","35184420, 32561858, 35935940, 33158814, 33961783"
Human,Ovary,Neutrophil,"CSF3R, S100A8, S100A9","35184420, 32561858"
Human,Ovary,Oocyte,NLRP9,15892040
Human,Ovary,Pericyte,"RGS5, PDGFRB","32561858, 33961783"
Human,Ovary,Plasma cell,"CD79A, JCHAIN, SDC1","35675036, 33961783"
Human,Ovary,Plasmacytoid dendritic cell,"LILRA4, CXCR3, IRF7","32561858, 33961783"
Human,Ovary,Pre-granulosa cell,FOXL2,35594860
Human,Ovary,Primordial germ cell,"DAZL, DDX4, DPPA3, NANOG, NANOS3, POU5F1, PRDM1, TFAP2C","35594860, 24568237"
Human,Ovary,Regulatory T cell,"CTLA4, FOXP3",35184420
Human,Ovary,Smooth muscle cell,"ACTA2, MYH11, MYL9, RGS5, TAGLN","32946807, 32714119, 35263130, 35675036"
Human,Ovary,Stem cell,"NANOG, PROM1, ALDH16A1, ALDH18A1, ALDH1A1, ALDH1A2, ALDH1A3, ALDH1B1, ALDH1L1, ALDH1L2, ALDH2, ALDH3A1, ALDH3A2, ALDH3B1, ALDH3B2, ALDH4A1, ALDH5A1, ALDH6A1, ALDH7A1, ALDH8A1, ALDH9A1, LGR5, POU5F1, SALL4","32049047, 29923352, 27501952, 23092806, 22954638, 19365862"
Human,Ovary,Stromal cell,"DCN, CD44, COL1A2, COL3A1, DLK1, ENG, FOXL2, MCAM, PECAM1, STAR, THY1, VIM, VWF","34238352, 30383866, 35184420, 32946807, 32714119, 32049047"
Human,Ovary,T cell,"CD3D, CD3E, CD3G, CD2, CD8A, CCL5, TRAC, WDR7","34238352, 35184420, 32946807, 32561858, 32714119, 35935940, 35675036, 33961783"
Human,Ovary,T-helper 1 cell,"GADD45B, TNF",35184420
Human,Ovary,Theca cell,"ANPEP, CYP17A1","35263130, 1370166"
Human,Ovary,Tip cell,"ESM1, NID2",32561858
Human,Ovary,Tissue-resident memory T cell,"CD3D, CD3E, CD3G, CD44, CD69, ITGAE",32049047
Human,Ovary,Type 1 conventional dendritic cell,"CLEC9A, XCR1",32561858
Human,Ovary,Type 2 conventional dendritic cell,"CD1C, CLEC10A, SIRPA",32561858
Human,Ovary,Vein endothelial cell,"ACKR1, SELP",32561858
Human,Periosteum,Mesenchymal stem cell,"ALCAM, NT5E, THY1",23894015
Human,Periosteum,Osteochondral progenitor cell,"POSTN, ANGPTL7, BMPR2, CD34, PDGFRB, THY1",35846885
Human,Periosteum,Progenitor cell,"ALCAM, CD9, PTPRC, THY1",15977065
Human,Primitive streak,Epiblast cell,"LHX1, MIXL1",16258519
Human,Hindlimb stylopod,B cell,"BLK, CD19, CD79A, CD79B",33495604
Human,Hindlimb stylopod,Cancer-associated fibroblast,"COL1A1, COL1A2, COL6A1, COL6A2, COL6A3, DCN, FAP, THY1",33495604
Human,Hindlimb stylopod,Epithelial cell,"EPCAM, KRT1, KRT10, KRT12, KRT13, KRT14, KRT15, KRT16, KRT17, KRT18, KRT19, KRT2, KRT20, KRT23, KRT24, KRT25, KRT26, KRT27, KRT28, KRT3, KRT31, KRT32, KRT33A, KRT33B, KRT34, KRT35, KRT36, KRT37, KRT38, KRT39, KRT4, KRT40, KRT5, KRT6A, KRT6B, KRT6C, KRT7, KRT71, KRT72, KRT73, KRT74, KRT75, KRT76, KRT77, KRT78, KRT79, KRT8, KRT80, KRT81, KRT82, KRT83, KRT84, KRT85, KRT86, KRT9, MUC1",33495604
Human,Hindlimb stylopod,Macrophage,"CD14, CD163, CSF1R",33495604
Human,Hindlimb stylopod,Mast cell,"ENPP3, KIT",33495604
Human,Hindlimb stylopod,Mesenchymal cell,"PDGFRA, SNAI2, ZEB1, ZEB2",33495604
Human,Hindlimb stylopod,Natural killer cell,"KLRA1P, KLRB1, KLRC1, KLRD1",33495604
Human,Hindlimb stylopod,T cell,"CD2, CD3D, CD3E, CD3G",33495604
Human,Hindlimb stylopod,Vein endothelial cell,"CDH5, PECAM1, VWF",33495604
Human,Ligament,Mesenchymal stem cell,"ADGRE5, ALCAM, CD14, CD163, CD34, CD40, CD44, CD53, CD74, CDH5, ENG, ITGA3, ITGAX, ITGB1, MCAM, NT5E, PECAM1, PROM1, PTPRC, THY1, VCAM1",23881068
Human,Fetal heart,Alternatively activated macrophage,"MS4A4A, SELENOP",31589297
Human,Fetal heart,B cell,"IGLL5, MS4A1",31589297
Human,Fetal heart,Cardiac muscle cell,"MYL2, MYL3, MYL7, TNNT2, MYH6, MYH7, MYH7B, MYL4, MYL9, TNNC1, TNNI1, TNNI3, ACTC1","32214235, 31589297"
Human,Fetal heart,Dendritic cell,CD1C,31589297
Human,Fetal heart,Endothelial cell,"CDH5, PECAM1, PCNA, TOP2A, TYMS, UBE2C, ZWINT, ACKR3, APLNR, AQP1, CA4, CAV1, CD36, CDH11, COL12A1, COL26A1, CXCL12, CXCR4, DHRS3, EDN1, EMCN, ESAM, FABP4, FBLN5, GJA4, GJA5, HEY1, INHBA, INMT, JAG1, KIT, LXN, MFAP4, NETO2, NOS2, NPPC, NPR3, NRG1, PDGFRA, PLVAP, PRDM1, PROX1, RASSF2, RGCC, SEMA3G, SERPINF1, SLCO2A1, SMTNL2, SOX17, SSUH2, UNC5B","34910626, 32214235, 31589297"
Human,Fetal heart,Endothelial cell of artery,"GJA4, HEY1",34910626
Human,Fetal heart,Erythrocyte,"AHSP, HBA1, HBA2, HBG2, GYPA, HBB, HBG1, HBM",32214235
Human,Fetal heart,Fibroblast,"COL1A1, COL1A2, DCN, DLK1, LUM, TGFBI",31589297
Human,Fetal heart,Macrophage,"C1QA, C1QB, CD163, CD74, FCER1G",32214235
Human,Fetal heart,Mast cell,"GATA2, TPSB2",31589297
Human,Fetal heart,Mature NK T cell,"GNLY, GZMA, GZMB, NKG7, PRF1",31589297
Human,Fetal heart,Mesenchymal stem cell,"COL1A1, COL1A2, COL3A1, COL12A1, COL5A2, DCN, LUM, OGN",32214235
Human,Fetal heart,Mesothelial cell,"MSLN, NPY, UPK3B, WT1",31589297
Human,Fetal heart,Monocyte,"CD68, LYZ, S100A6, S100A8",31589297
Human,Fetal heart,Neuron,"GAP43, STMN2, UCHL1",32214235
Human,Fetal heart,Smooth muscle cell,"ACTA2, TAGLN, COL1A1, COL1A2, RGS5, TGFBI, MYL6","32214235, 31589297"
Human,Fetal heart,Stromal cell,"COL1A1, COL1A2, COL3A1, MGP",32214235
Human,Fetal heart,T cell,"IL7R, LTB",31589297
Human,Fetal heart,Valvular endothelial cell,"CXCL2, F5, NTRK2, STRA6, WNT2",34910626
Human,Fetal heart,Vein endothelial cell,"ACKR1, LHX6, NR2F2, SELE, ZFP36",34910626
Human,Lacrimal gland,Endothelial cell,"CDH5, PECAM1",33730555
Human,Lacrimal gland,Epithelial cell,"AQP5, FOXC1, PAX6",33730555
Human,Lacrimal gland,Myoepithelial cell,"ACTA2, MYH11, MYLK, TPM2",33730555
Human,Lacrimal gland,Stem cell,ABCG2,22253725
Human,Tooth bud,"Activated CD8-positive, alpha-beta T cell",CRTAM,34600587
Human,Tooth bud,Ameloblast,AMBN,34600587
Human,Tooth bud,"CD4-positive, alpha-beta memory T cell",CCR7,34600587
Human,Tooth bud,"CD8-positive, alpha-beta cytotoxic T cell",CD8A,34600587
Human,Tooth bud,"CD8-positive, alpha-beta memory T cell",IL7R,34600587
Human,Tooth bud,Dendritic cell,CD1C,34600587
Human,Tooth bud,Endothelial cell,VWF,34600587
Human,Tooth bud,Immature Osteoblast,VIM,34600587
Human,Tooth bud,Macrophage,CCL3,34600587
Human,Tooth bud,Mature NK T cell,"GNLY, NKG7",34600587
Human,Tooth bud,Monocyte,FCN1,34600587
Human,Tooth bud,Natural killer cell,SELL,34600587
Human,Tooth bud,Neutrophil,S100A9,34600587
Human,Tooth bud,Osteoblast,"SPARC, GJA1, RUNX2",34600587
Human,Tooth bud,Osteoclast,ACP5,34600587
Human,Tooth bud,Pericyte,RGS5,34600587
Human,Tooth bud,Stem cell of apical papilla,CD24,34600587
Human,Tooth bud,T cell,"CD3E, MKI67",34600587
Human,Tooth bud,T-helper 17 cell,CCR6,34600587
Human,Adrenal gland,B cell,"CD27, CD79A, CD79B, IGHG2, MS4A1, MZB1",33934358
Human,Adrenal gland,Chromaffin cell,"CHGA, NCAM1, PNMT, TH","33934358, 12915688"
Human,Adrenal gland,Cortical cell of adrenal gland,"CYP11A1, CYP11B1, CYP21A2, CYP17A1, HSD3B2, NR5A1, STAR","32214235, 33767450, 33934358"
Human,Adrenal gland,Dendritic cell,"CD1C, HLA-DPA1, HLA-DPB1, HLA-DRA, HLA-DRB1",32214235
Human,Adrenal gland,Endothelial cell,"PECAM1, CDH5, EGFL7, EMCN, FLT1, PLVAP, PTPRB, AQP1, CAV1, EPAS1, ESAM, TM4SF1","32214235, 33767450, 33934358"
Human,Adrenal gland,Erythrocyte,"HBA2, AHSP, ANK1, HBA1, HBB, HBG2","32214235, 33767450"
Human,Adrenal gland,Erythroid progenitor cell,"AHSP, BLVRB, NPM1, UROD",32214235
Human,Adrenal gland,Fibroblast,"COL1A1, COL1A2, LUM",33934358
Human,Adrenal gland,Glial cell,"CRYAB, PLP1, SPP1",33934358
Human,Adrenal gland,Hepatocyte,"AFP, ALB, ASGR1",33767450
Human,Adrenal gland,Macrophage,"CD163, C1QA, C1QB, CD68, CD74, FCER1G, VSIG4","32214235, 33934358"
Human,Adrenal gland,Mesenchymal cell,"COL1A1, COL1A2, PDGFRB",33767450
Human,Adrenal gland,Monocyte,CD14,32214235
Human,Adrenal gland,Muscle precursor cell,"CDON, PAX3, PAX7",33767450
Human,Adrenal gland,Myofibroblast cell,"ACTA2, MYH11, TAGLN",33767450
Human,Adrenal gland,Natural killer cell,"GNLY, GZMB, KLRF1",33934358
Human,Adrenal gland,Nephrogenic zone cell,NCAM1,12915688
Human,Adrenal gland,Neutrophil,"S100A8, S100A9",33934358
Human,Adrenal gland,Plasma cell,"IGKC, JCHAIN, CD79A, IGHA1, IGHA2, IGHG1, IGHG2, IGHG4","32214235, 33934358"
Human,Adrenal gland,Purkinje cell,PCP4,32946775
Human,Adrenal gland,Smooth muscle cell,"ACTA2, MYH11, MYL9, TAGLN",32214235
Human,Adrenal gland,Stromal cell,"DCN, LUM, MGP",32214235
Human,Adrenal gland,T cell,"CD3D, CD3E, TRAC, TRBC1, TRBC2, CD69, CD8A, NCOR1","32214235, 33934358"
Human,Adrenal gland,Vascular associated smooth muscle cell,"ACTA2, MYH11, TAGLN",33934358
Human,Crypt of Lieberkuhn of small intestine,Intestinal crypt stem cell,DCLK1,19676123
Human,Nail,Stem cell,"CD34, ITGB1, KRT14, KRT15, KRT19, LGR6",29633149
Human,Duodenum,Dendritic cell,"CD1C, HLA-DPA1, HLA-DPB1, HLA-DRA, HLA-DRB1",32214235
Human,Duodenum,Endothelial cell,"AQP1, EMCN, EPAS1, PECAM1, PLVAP",32214235
Human,Duodenum,Enterocyte,"ALDOB, APOA4, APOB, EPCAM, KRT20, KRT8, PIGR","32214235, 33691112"
Human,Duodenum,Goblet cell,"MUC1, TFF2","32214235, 35314801, 33691112"
Human,Duodenum,Macrophage,"C1QA, C1QB, CD163, CD74, FCER1G",32214235
Human,Duodenum,Plasma cell,"CD79A, IGHA1, IGHA2, IGKC, JCHAIN",32214235
Human,Duodenum,T cell,"CD3D, CD3E, TRAC, TRBC1, TRBC2",32214235
Human,Cartilage element,Mesenchymal stem cell,"ALCAM, CD44, CD9, ICAM1, THY1",15380042
Human,Minor salivary gland,Myoepithelial cell,"Calponin family, ITGB1, PDPN, S100 family, SMN1, TP63","23262786, 20840670"
Human,Minor salivary gland,Stem cell,"BMI1, CD44, POU5F1",27131799
Human,Intervertebral disk,Endothelial cell,"CD34, PECAM1, LYVE1, PDPN","11725235, 22588384, 21504791, 16947015, 19727710"
Human,Intervertebral disk,Macrophage,"CCR7, CD163, MRC1, CD68","29031872, 18673547"
